iter	Logloss
0	0.6769785879
1	0.6617207383
2	0.6482840299
3	0.6350219764
4	0.6226312698
5	0.611149044
6	0.600204752
7	0.589920475
8	0.5806804955
9	0.5719251198
10	0.5640183322
11	0.5565649821
12	0.5493709566
13	0.5430044154
14	0.5369043161
15	0.5310631037
16	0.5256537364
17	0.5205330079
18	0.5157262123
19	0.5110309711
20	0.5069677395
21	0.5028242278
22	0.499233787
23	0.4956711325
24	0.4924767266
25	0.4895009548
26	0.4867345359
27	0.4840747803
28	0.4818839798
29	0.4797211383
30	0.4773402578
31	0.4753519041
32	0.4734806249
33	0.4714976547
34	0.4697193473
35	0.4681468569
36	0.4665206735
37	0.4650212389
38	0.4636733142
39	0.462600832
40	0.4613612356
41	0.4603471482
42	0.4592893703
43	0.4581248977
44	0.4570699452
45	0.4561033112
46	0.4552046609
47	0.4544269029
48	0.4536103564
49	0.4529197605
50	0.4522563788
51	0.4515960036
52	0.4508728778
53	0.4501649161
54	0.4496813056
55	0.4491348628
56	0.4486609335
57	0.4481616848
58	0.4476295273
59	0.4471823009
60	0.4466241417
61	0.4461407953
62	0.4457683336
63	0.4454104515
64	0.4451341461
65	0.4447274748
66	0.4442459866
67	0.4439019538
68	0.4434665331
69	0.4432163208
70	0.4427923584
71	0.4424685518
72	0.442251833
73	0.4419676691
74	0.4417084106
75	0.4414429579
76	0.4411363368
77	0.4408970665
78	0.4406229055
79	0.4403690229
80	0.4400688452
81	0.439822675
82	0.4396002422
83	0.4393727922
84	0.4390834107
85	0.4388801656
86	0.438657241
87	0.4384669677
88	0.4382885014
89	0.438074316
90	0.4379070485
91	0.4377770927
92	0.437600789
93	0.4374342795
94	0.4372643483
95	0.437148368
96	0.4369401486
97	0.4368176643
98	0.4366339752
99	0.4364215459
100	0.4362969068
101	0.4361927294
102	0.4360451859
103	0.435895958
104	0.4357964238
105	0.4357008553
106	0.4355835173
107	0.4354136344
108	0.4352368499
109	0.4351087892
110	0.435012443
111	0.4349235847
112	0.4348104578
113	0.4347436845
114	0.4347067429
115	0.4346362682
116	0.4346127045
117	0.434530596
118	0.4343881585
119	0.434214567
120	0.4340558999
121	0.4339404851
122	0.4338254014
123	0.4337235632
124	0.4335891664
125	0.4335234038
126	0.4334441542
127	0.4334238774
128	0.4333301752
129	0.4332577467
130	0.4331597137
131	0.4330684874
132	0.4329395792
133	0.4328336707
134	0.4327151058
135	0.4326519692
136	0.4325860223
137	0.4325162787
138	0.4324305927
139	0.4323570884
140	0.4322521149
141	0.432187011
142	0.4320926688
143	0.4320002626
144	0.4319068707
145	0.4318276432
146	0.431753286
147	0.4316647236
148	0.43159668
149	0.4314933554
150	0.4314012784
151	0.4313863457
152	0.4313399731
153	0.4312680876
154	0.4311878492
155	0.4311134778
156	0.4310227816
157	0.4309124907
158	0.4308328851
159	0.4307350887
160	0.4306688951
161	0.4306198967
162	0.4305407919
163	0.4304723715
164	0.4303938527
165	0.4303008545
166	0.4302509744
167	0.4302056962
168	0.4301400317
169	0.4300495994
170	0.4300071778
171	0.4299244048
172	0.4298586635
173	0.4297933849
174	0.4297358765
175	0.4296768723
176	0.4296175354
177	0.4295400028
178	0.4294297615
179	0.4293633626
180	0.4292934417
181	0.4292164442
182	0.4291481662
183	0.4290522135
184	0.429007587
185	0.4289621346
186	0.4289191736
187	0.4288615937
188	0.4287395721
189	0.428648907
190	0.4285054838
191	0.4284064791
192	0.4283320645
193	0.4282642849
194	0.4281919927
195	0.4281306449
196	0.4280348847
197	0.4279457413
198	0.4279196269
199	0.427844832
200	0.4277955414
201	0.4277298544
202	0.4276189784
203	0.4275673928
204	0.4274723166
205	0.4273653135
206	0.4273010947
207	0.4272726245
208	0.4271883611
209	0.4271333116
210	0.4271135234
211	0.4270727394
212	0.4270414886
213	0.4269786014
214	0.4268480422
215	0.4267869233
216	0.4267075678
217	0.4266674011
218	0.4266478664
219	0.4266018596
220	0.4265808404
221	0.4265170269
222	0.4264736787
223	0.4264046338
224	0.426335873
225	0.426268688
226	0.4261845393
227	0.4261453375
228	0.4260399782
229	0.4259743805
230	0.4259200783
231	0.4258425853
232	0.4257514453
233	0.4256793922
234	0.4256092244
235	0.4255874927
236	0.4255384162
237	0.4254729343
238	0.4254727455
239	0.4253852185
240	0.4253304617
241	0.4252081426
242	0.4251237219
243	0.4250697971
244	0.4250337806
245	0.4249574483
246	0.4248685226
247	0.4248334775
248	0.4247938416
249	0.4247564465
250	0.4246596315
251	0.4245758845
252	0.4244855725
253	0.424414264
254	0.4243592289
255	0.4242993366
256	0.4242705487
257	0.4242180743
258	0.4241664026
259	0.4241112889
260	0.4240623916
